Wavelength,Intensity
190.03738814827884,790
190.1024134583397,749
190.1674391684325,788
190.23246527751752,768
190.29749178455458,755
190.36251868850323,717
190.4275459883223,796
190.49257368297035,724
190.55760177140547,820
190.62263025258528,729
190.68765912546695,814
190.75268838900723,774
190.81771804216243,808
190.88274808388843,824
190.94777851314058,796
191.01280932887383,719
191.07784053004275,791
191.1428721156014,748
191.2079040845033,848
191.27293643570178,790
191.33796916814956,823
191.40300228079883,767
191.46803577260152,808
191.53306964250896,766
191.59810388947218,797
191.66313851244166,765
191.7281735103674,845
191.79320888219914,766
191.858244626886,811
191.9232807433767,788
191.9883172306195,782
192.0533540875623,786
192.11839131315244,821
192.18342890633693,829
192.24846686606222,830
192.3135051912744,765
192.37854388091907,853
192.4435829339414,756
192.50862234928616,792
192.57366212589753,751
192.63870226271945,816
192.70374275869523,754
192.7687836127679,804
192.83382482387987,760
192.89886639097327,825
192.96390831298964,782
193.02895058887023,861
193.09399321755566,794
193.15903619798624,812
193.22407952910186,816
193.28912320984185,825
193.35416723914517,778
193.4192116159503,855
193.48425633919527,758
193.5493014078177,802
193.61434682075478,788
193.67939257694317,827
193.74443867531923,751
193.8094851148187,795
193.874531894377,781
193.93957901292902,814
194.0046264694093,761
194.06967426275185,831
194.13472239189028,777
194.19977085575778,828
194.264819653287,807
194.3298687834102,812
194.39491824505927,773
194.45996803716557,838
194.52501815865998,748
194.590068608473,821
194.65511938553465,762
194.7201704887746,848
194.78522191712196,797
194.85027366950538,840
194.91532574485325,816
194.9803781420932,847
195.04543086015272,744
195.11048389795877,818
195.17553725443773,778
195.24059092851567,796
195.30564491911824,833
195.37069922517045,850
195.43575384559713,809
195.50080877932248,837
195.56586402527026,804
195.63091958236393,814
195.69597544952637,731
195.76103162568003,854
195.82608810974696,786
195.89114490064878,826
195.95620199730655,839
196.02125939864098,811
196.08631710357238,783
196.15137511102054,863
196.2164334199048,791
196.281492029144,849
196.34655093765676,803
196.41161014436096,853
196.47666964817427,803
196.54172944801377,873
196.60678954279618,834
196.67184993143775,835
196.73691061285427,776
196.80197158596113,843
196.8670328496731,790
196.93209440290482,867
196.99715624457016,789
197.06221837358282,856
197.12728078885587,789
197.19234348930198,845
197.2574064738334,811
197.32246974136197,826
197.38753329079898,802
197.4525971210553,870
197.5176612310415,794
197.58272561966749,863
197.64779028584292,811
197.71285522847688,849
197.777920446478,847
197.84298593875457,865
197.90805170421433,781
197.9731177417647,833
198.03818405031254,812
198.10325062876427,895
198.16831747602598,822
198.23338459100313,854
198.29845197260087,814
198.36351961972397,840
198.42858753127646,805
198.49365570616237,881
198.55872414328485,829
198.62379284154687,883
198.68886179985088,828
198.7539310170988,860
198.81900049219234,784
198.88407022403246,830
198.94914021151993,823
199.0142104535549,882
199.0792809490372,750
199.14435169686618,892
199.20942269594067,859
199.27449394515915,865
199.33956544341962,863
199.40463718961956,845
199.4697091826562,830
199.53478142142615,857
199.59985390482558,788
199.66492663175032,865
199.72999960109564,814
199.7950728117565,889
199.86014626262732,852
199.92521995260202,860
199.99029388057423,818
200.05536804543706,877
200.12044244608308,774
200.18551708140456,862
200.25059195029328,820
200.3156670516405,873
200.3807423843372,848
200.44581794727372,869
200.5108937393401,831
200.57596975942587,876
200.64104600642008,798
200.7061224792115,856
200.77119917668819,760
200.836276097738,857
200.90135324124822,832
200.96643060610577,861
201.03150819119705,858
201.096585995408,840
201.1616640176242,780
201.22674225673072,862
201.29182071161222,802
201.3568993811529,869
201.42197826423654,832
201.48705735974644,882
201.55213666656547,781
201.61721618357603,835
201.68229590966013,842
201.74737584369925,852
201.81245598457448,777
201.8775363311665,866
201.94261688235557,793
202.00769763702132,867
202.07277859404311,836
202.1378597522998,888
202.20294111066983,827
202.26802266803108,844
202.3331044232612,827
202.3981863752372,874
202.46326852283576,784
202.52835086493306,919
202.5934334004048,838
202.6585161281263,851
202.72359904697248,849
202.78868215581764,898
202.85376545353586,857
202.9188489390006,871
202.98393261108495,823
203.04901646866156,888
203.11410051060258,807
203.17918473577976,886
203.2442691430644,841
203.3093537313274,903
203.3744384994391,822
203.4395234462695,825
203.5046085706881,797
203.56969387156397,894
203.63477934776577,839
203.6998649981616,867
203.76495082161927,824
203.8300368170061,890
203.8951229831888,851
203.96020931903394,875
204.02529582340736,819
204.09038249517462,872
204.15546933320076,849
204.2205563363504,883
204.28564350348776,833
204.35073083347655,893
204.41581832518006,874
204.48090597746108,870
204.5459937891821,803
204.61108175920498,902
204.67616988639128,814
204.74125816960202,915
204.80634660769786,863
204.87143519953898,875
204.93652394398507,817
205.0016128398954,835
205.06670188612887,849
205.13179108154375,849
205.1968804249981,789
205.26196991534945,886
205.32705955145474,843
205.39214933217067,892
205.45723925635335,826
205.5223293228585,844
205.5874195305414,841
205.65250987825695,859
205.71760036485946,830
205.7826909892029,847
205.84778175014077,806
205.91287264652613,884
205.97796367721153,833
206.04305484104916,819
206.10814613689078,827
206.1732375635876,823
206.2383291199905,794
206.30342080494984,910
206.3685126173155,781
206.43360455593705,839
206.49869661966355,829
206.56378880734346,887
206.62888111782507,805
206.69397354995607,804
206.75906610258374,781
206.8241587745548,846
206.88925156471572,767
206.95434447191244,852
207.01943749499037,834
207.0845306327946,834
207.14962388416973,833
207.21471724795987,881
207.27981072300878,822
207.3449043081597,821
207.40999800225543,805
207.47509180413834,862
207.54018571265036,788
207.60527972663297,845
207.67037384492724,826
207.7354680663737,858
207.80056238981257,849
207.86565681408348,838
207.93075133802571,792
207.9958459604781,861
208.06094068027895,805
208.12603549626624,866
208.19113040727743,789
208.25622541214955,868
208.3213205097192,836
208.38641569882245,818
208.451510978295,811
208.5166063469722,862
208.58170180368884,798
208.6467973472792,856
208.71189297657725,799
208.77698869041646,867
208.84208448762982,839
208.9071803670499,839
208.9722763275089,798
209.0373723678385,839
209.1024684868699,803
209.1675646834339,885
209.2326609563609,795
209.2977573044808,855
209.362853726623,805
209.42795022161664,827
209.49304678829014,920
209.55814342547177,853
209.62324013198915,787
209.68833690666955,818
209.75343374833975,769
209.81853065582607,840
209.8836276279544,828
209.94872466355028,857
210.01382176143872,811
210.0789189204442,828
210.14401613939094,822
210.20911341710257,854
210.27421075240235,772
210.339308144113,847
210.40440559105696,818
210.46950309205607,847
210.53460064593176,843
210.59969825150515,856
210.66479590759673,827
210.7298936130266,867
210.79499136661445,799
210.86008916717952,847
210.9251870135406,776
210.99028490451605,863
211.05538283892375,831
211.1204808155811,833
211.18557883330516,859
211.25067689091247,820
211.3157749872191,761
