Wavelength,Intensity
190.03738814827884,814
190.1024134583397,783
190.1674391684325,786
190.23246527751752,759
190.29749178455458,781
190.36251868850323,711
190.4275459883223,763
190.49257368297035,751
190.55760177140547,797
190.62263025258528,728
190.68765912546695,823
190.75268838900723,791
190.81771804216243,813
190.88274808388843,800
190.94777851314058,792
191.01280932887383,723
191.07784053004275,791
191.1428721156014,752
191.2079040845033,826
191.27293643570178,808
191.33796916814956,837
191.40300228079883,803
191.46803577260152,840
191.53306964250896,779
191.59810388947218,786
191.66313851244166,778
191.7281735103674,849
191.79320888219914,794
191.858244626886,807
191.9232807433767,813
191.9883172306195,773
192.0533540875623,788
192.11839131315244,819
192.18342890633693,801
192.24846686606222,822
192.3135051912744,768
192.37854388091907,844
192.4435829339414,777
192.50862234928616,812
192.57366212589753,791
192.63870226271945,834
192.70374275869523,740
192.7687836127679,802
192.83382482387987,770
192.89886639097327,839
192.96390831298964,757
193.02895058887023,862
193.09399321755566,805
193.15903619798624,793
193.22407952910186,807
193.28912320984185,818
193.35416723914517,763
193.4192116159503,840
193.48425633919527,768
193.5493014078177,781
193.61434682075478,807
193.67939257694317,813
193.74443867531923,768
193.8094851148187,798
193.874531894377,768
193.93957901292902,815
194.0046264694093,764
194.06967426275185,816
194.13472239189028,799
194.19977085575778,854
194.264819653287,819
194.3298687834102,840
194.39491824505927,760
194.45996803716557,827
194.52501815865998,729
194.590068608473,823
194.65511938553465,790
194.7201704887746,860
194.78522191712196,809
194.85027366950538,856
194.91532574485325,829
194.9803781420932,877
195.04543086015272,764
195.11048389795877,846
195.17553725443773,790
195.24059092851567,782
195.30564491911824,842
195.37069922517045,856
195.43575384559713,777
195.50080877932248,831
195.56586402527026,771
195.63091958236393,829
195.69597544952637,756
195.76103162568003,820
195.82608810974696,757
195.89114490064878,863
195.95620199730655,830
196.02125939864098,804
196.08631710357238,798
196.15137511102054,870
196.2164334199048,765
196.281492029144,865
196.34655093765676,806
196.41161014436096,787
196.47666964817427,819
196.54172944801377,880
196.60678954279618,824
196.67184993143775,865
196.73691061285427,779
196.80197158596113,865
196.8670328496731,808
196.93209440290482,850
196.99715624457016,828
197.06221837358282,835
197.12728078885587,808
197.19234348930198,848
197.2574064738334,779
197.32246974136197,824
197.38753329079898,845
197.4525971210553,898
197.5176612310415,822
197.58272561966749,847
197.64779028584292,850
197.71285522847688,864
197.777920446478,891
197.84298593875457,869
197.90805170421433,793
197.9731177417647,829
198.03818405031254,804
198.10325062876427,905
198.16831747602598,836
198.23338459100313,854
198.29845197260087,838
