Wavelength,Intensity
190.03738814827884,825
190.1024134583397,763
190.1674391684325,772
190.23246527751752,770
190.29749178455458,835
190.36251868850323,734
190.4275459883223,825
190.49257368297035,774
190.55760177140547,805
190.62263025258528,763
190.68765912546695,843
190.75268838900723,788
190.81771804216243,809
190.88274808388843,790
190.94777851314058,797
191.01280932887383,733
191.07784053004275,828
191.1428721156014,786
191.2079040845033,851
191.27293643570178,786
191.33796916814956,844
191.40300228079883,782
191.46803577260152,819
191.53306964250896,801
191.59810388947218,837
191.66313851244166,768
191.7281735103674,863
191.79320888219914,797
191.858244626886,804
191.9232807433767,806
191.9883172306195,812
192.0533540875623,805
192.11839131315244,846
192.18342890633693,858
192.24846686606222,841
192.3135051912744,770
192.37854388091907,858
192.4435829339414,811
192.50862234928616,801
192.57366212589753,816
192.63870226271945,841
192.70374275869523,773
192.7687836127679,809
192.83382482387987,762
192.89886639097327,846
192.96390831298964,746
193.02895058887023,852
193.09399321755566,832
193.15903619798624,789
193.22407952910186,803
193.28912320984185,815
193.35416723914517,766
193.4192116159503,822
193.48425633919527,766
193.5493014078177,783
193.61434682075478,781
193.67939257694317,795
193.74443867531923,767
193.8094851148187,787
193.874531894377,741
193.93957901292902,792
194.0046264694093,773
194.06967426275185,841
194.13472239189028,771
194.19977085575778,814
194.264819653287,824
194.3298687834102,832
194.39491824505927,752
194.45996803716557,845
194.52501815865998,761
194.590068608473,824
194.65511938553465,780
194.7201704887746,864
194.78522191712196,776
194.85027366950538,842
194.91532574485325,806
194.9803781420932,882
195.04543086015272,772
195.11048389795877,806
195.17553725443773,803
195.24059092851567,841
195.30564491911824,825
195.37069922517045,832
195.43575384559713,801
195.50080877932248,851
195.56586402527026,776
195.63091958236393,836
195.69597544952637,746
195.76103162568003,856
195.82608810974696,777
195.89114490064878,830
195.95620199730655,858
196.02125939864098,815
196.08631710357238,794
196.15137511102054,858
196.2164334199048,807
196.281492029144,857
196.34655093765676,817
196.41161014436096,821
196.47666964817427,833
196.54172944801377,883
196.60678954279618,802
196.67184993143775,874
196.73691061285427,784
196.80197158596113,852
196.8670328496731,799
196.93209440290482,853
196.99715624457016,811
197.06221837358282,850
197.12728078885587,798
197.19234348930198,867
197.2574064738334,786
197.32246974136197,843
197.38753329079898,837
197.4525971210553,921
197.5176612310415,843
197.58272561966749,891
197.64779028584292,807
197.71285522847688,832
197.777920446478,832
197.84298593875457,861
197.90805170421433,827
197.9731177417647,841
198.03818405031254,804
198.10325062876427,892
198.16831747602598,788
198.23338459100313,845
198.29845197260087,858
198.36351961972397,858
198.42858753127646,824
198.49365570616237,898
198.55872414328485,820
198.62379284154687,883
198.68886179985088,835
198.7539310170988,846
198.81900049219234,801
198.88407022403246,852
198.94914021151993,847
199.0142104535549,893
199.0792809490372,773
199.14435169686618,900
199.20942269594067,836
