Wavelength,Intensity
190.03738814827884,808
190.1024134583397,779
190.1674391684325,795
190.23246527751752,780
190.29749178455458,806
190.36251868850323,736
190.4275459883223,801
190.49257368297035,765
190.55760177140547,820
190.62263025258528,741
190.68765912546695,844
190.75268838900723,746
190.81771804216243,802
190.88274808388843,784
190.94777851314058,802
191.01280932887383,718
191.07784053004275,815
191.1428721156014,773
191.2079040845033,840
191.27293643570178,781
191.33796916814956,827
191.40300228079883,805
191.46803577260152,788
191.53306964250896,748
191.59810388947218,816
191.66313851244166,795
191.7281735103674,838
191.79320888219914,792
191.858244626886,806
191.9232807433767,784
191.9883172306195,827
192.0533540875623,751
192.11839131315244,838
192.18342890633693,809
192.24846686606222,832
192.3135051912744,775
192.37854388091907,843
192.4435829339414,783
192.50862234928616,792
192.57366212589753,796
192.63870226271945,849
192.70374275869523,785
192.7687836127679,805
192.83382482387987,778
192.89886639097327,822
192.96390831298964,808
193.02895058887023,862
193.09399321755566,800
193.15903619798624,813
193.22407952910186,803
193.28912320984185,806
193.35416723914517,753
193.4192116159503,820
193.48425633919527,806
193.5493014078177,825
193.61434682075478,817
193.67939257694317,804
193.74443867531923,750
193.8094851148187,805
193.874531894377,788
193.93957901292902,808
194.0046264694093,764
194.06967426275185,825
194.13472239189028,786
194.19977085575778,818
194.264819653287,836
194.3298687834102,840
194.39491824505927,766
194.45996803716557,827
194.52501815865998,741
194.590068608473,834
194.65511938553465,806
194.7201704887746,877
194.78522191712196,823
194.85027366950538,856
194.91532574485325,835
194.9803781420932,863
195.04543086015272,762
195.11048389795877,821
195.17553725443773,796
195.24059092851567,831
195.30564491911824,843
195.37069922517045,849
195.43575384559713,798
195.50080877932248,830
195.56586402527026,793
195.63091958236393,813
195.69597544952637,730
195.76103162568003,841
195.82608810974696,775
195.89114490064878,852
195.95620199730655,850
196.02125939864098,807
196.08631710357238,774
196.15137511102054,835
196.2164334199048,790
196.281492029144,837
196.34655093765676,793
196.41161014436096,831
196.47666964817427,801
196.54172944801377,873
196.60678954279618,800
196.67184993143775,838
196.73691061285427,753
196.80197158596113,878
196.8670328496731,782
196.93209440290482,858
196.99715624457016,831
197.06221837358282,844
197.12728078885587,811
197.19234348930198,831
197.2574064738334,793
197.32246974136197,841
197.38753329079898,840
197.4525971210553,871
197.5176612310415,801
197.58272561966749,862
197.64779028584292,826
197.71285522847688,872
197.777920446478,829
197.84298593875457,858
197.90805170421433,831
197.9731177417647,831
198.03818405031254,816
198.10325062876427,916
198.16831747602598,831
