keV	QE (%)
36.4	0.360427208
36.5	0.355098018
36.6	0.349847623
36.7	0.34467486
36.8	0.33957858
36.9	0.334557652
37	0.329610962
37.1	0.324737413
37.2	0.319935924
37.3	0.315205428
37.4	0.310544875
37.5	0.305953233
37.6	0.301429482
37.7	0.296972617
37.8	0.292581651
37.9	0.288255609
38	0.28399353
38.1	0.27979447
38.2	0.275657496
38.3	0.27158169
38.4	0.267566148
38.5	0.263609979
38.6	0.259712305
38.7	0.25587226
38.8	0.252088994
38.9	0.248361667
39	0.24468945
39.1	0.241071531
39.2	0.237507105
39.3	0.233995381
39.4	0.230535582
39.5	0.227126938
39.6	0.223768693
39.7	0.220460102
39.8	0.217200432
39.9	0.213988958
40	0.210824969
40.1	0.207707761
40.2	0.204636644
40.3	0.201610935
40.4	0.198629964
40.5	0.195693069
40.6	0.192799598
40.7	0.189948909
40.8	0.18714037
40.9	0.184373357
41	0.181647257
41.1	0.178961464
41.2	0.176315382
41.3	0.173708425
41.4	0.171140014
41.5	0.168609579
41.6	0.166116558
41.7	0.163660398
41.8	0.161240555
41.9	0.15885649
42	0.156507676
42.1	0.154193591
42.2	0.151913721
42.3	0.149667561
42.4	0.147454613
42.5	0.145274384
42.6	0.143126392
42.7	0.141010159
42.8	0.138925216
42.9	0.136871101
43	0.134847358
43.1	0.132853537
43.2	0.130889197
43.3	0.1289539
43.4	0.127047219
43.5	0.125168729
43.6	0.123318014
43.7	0.121494663
43.8	0.119698272
43.9	0.117928442
44	0.11618478
44.1	0.1144669
44.2	0.11277442
44.3	0.111106964
44.4	0.109464163
44.5	0.107845652
44.6	0.106251072
44.7	0.104680069
44.8	0.103132295
44.9	0.101607405
45	0.100105062
45.1	0.098624933
45.2	0.097166688
45.3	0.095730005
45.4	0.094314564
45.5	0.092920051
45.6	0.091546157
45.7	0.090192578
45.8	0.088859012
45.9	0.087545164
46	0.086250742
46.1	0.084975459
46.2	0.083719032
46.3	0.082481183
46.4	0.081261636
46.5	0.08006012
46.6	0.078876371
46.7	0.077710123
46.8	0.07656112
46.9	0.075429106
47	0.074313829
47.1	0.073215042
47.2	0.072132502
47.3	0.071065968
47.4	0.070015204
47.5	0.068979976
47.6	0.067960054
47.7	0.066955213
47.8	0.065965229
47.9	0.064989883
48	0.064028958
48.1	0.063082242
48.2	0.062149523
48.3	0.061230595
48.4	0.060325254
48.5	0.059433299
48.6	0.058554532
48.7	0.057688759
48.8	0.056835787
48.9	0.055995426
49	0.055167491
49.1	0.054351798
49.2	0.053548165
49.3	0.052756415
49.4	0.051976371
49.5	0.051207861
49.6	0.050450714
49.7	0.049704762
49.8	0.048969839
