Wavelength,Correction Factor
1.964116101443609637e+02,1.421725794594335844e-03
1.964766696481742656e+02,1.415758802969437720e-03
1.965417294480137684e+02,1.407475449229108385e-03
1.966067895427961787e+02,1.411711670067846650e-03
1.966718499314377482e+02,1.404923855759653874e-03
1.967369106128542739e+02,1.406065956254553368e-03
1.968019715859611267e+02,1.388736033769197948e-03
1.968670328496731088e+02,1.387840388259065083e-03
1.969320944029048235e+02,1.380112060186214264e-03
1.969971562445701636e+02,1.388331998675553739e-03
1.970622183735828230e+02,1.382275853345752000e-03
1.971272807888558702e+02,1.377078674160016553e-03
1.971923434893019760e+02,1.373013122352659439e-03
1.972574064738334130e+02,1.381123323839858951e-03
1.973224697413619708e+02,1.361741275642846518e-03
1.973875332907989844e+02,1.361802565567919168e-03
1.974525971210553053e+02,1.358803128641588708e-03
1.975176612310415010e+02,1.352629691527874618e-03
1.975827256196674853e+02,1.343441086372767351e-03
1.976477902858429161e+02,1.345560820405796018e-03
1.977128552284768830e+02,1.344173766614858772e-03
1.977779204464779923e+02,1.335507584822752608e-03
1.978429859387545662e+02,1.317880393620782893e-03
1.979080517042143299e+02,1.321326353994995914e-03
1.979731177417646961e+02,1.323433319583952779e-03
1.980381840503125375e+02,1.317896485070024337e-03
1.981032506287642718e+02,1.297502822280612164e-03
1.981683174760259760e+02,1.300437997243125091e-03
1.982333845910031300e+02,1.294724228369235116e-03
1.982984519726008728e+02,1.293555919239665125e-03
1.983635196197239736e+02,1.280637757737343192e-03
1.984285875312764631e+02,1.285161552843902110e-03
1.984936557061623716e+02,1.278517941786962717e-03
1.985587241432848487e+02,1.270143852887455809e-03
1.986237928415468730e+02,1.261062167843194064e-03
1.986888617998508835e+02,1.263423549751025365e-03
1.987539310170988074e+02,1.251686857963431754e-03
1.988190004921923446e+02,1.248397790565989457e-03
1.988840702240324561e+02,1.240135075080389887e-03
1.989491402115199321e+02,1.239979649134144218e-03
1.990142104535549095e+02,1.236542162623133689e-03
1.990792809490372122e+02,1.233736813936475545e-03
1.991443516968661811e+02,1.225309115556930725e-03
1.992094226959406740e+02,1.227826474492940819e-03
1.992744939451591506e+02,1.218980793100600968e-03
1.993395654434196160e+02,1.210949574651225269e-03
1.994046371896195637e+02,1.206482880480180776e-03
1.994697091826562030e+02,1.212519095068728073e-03
1.995347814214261462e+02,1.205383786585115594e-03
1.995998539048255793e+02,1.195145550255211943e-03
1.996649266317503191e+02,1.198108710392708663e-03
1.997299996010956420e+02,1.196714994064622698e-03
1.997950728117565120e+02,1.192498122092166407e-03
1.998601462626273246e+02,1.187171474156336910e-03
1.999252199526020206e+02,1.182282309395095692e-03
1.999902938805742281e+02,1.184329479779770407e-03
2.000553680454370635e+02,1.176894030079609537e-03
2.001204424460830751e+02,1.170798310976815066e-03
2.001855170814045550e+02,1.168804791161507685e-03
2.002505919502932841e+02,1.173242365993361173e-03
2.003156670516405029e+02,1.169826082234555866e-03
2.003807423843371964e+02,1.166361375067867046e-03
2.004458179472737243e+02,1.164382901737397039e-03
2.005108937393401050e+02,1.160826366827868430e-03
2.005759697594258739e+02,1.155823830970154932e-03
2.006410460064200834e+02,1.159531485547262439e-03
2.007061224792115013e+02,1.158444074454820791e-03
2.007711991766881852e+02,1.157375130808346994e-03
2.008362760977379935e+02,1.154887243080942802e-03
2.009013532412482164e+02,1.147164106436751553e-03
2.009664306061057744e+02,1.147915263106514009e-03
2.010315081911970481e+02,1.145469695148810564e-03
2.010965859954079917e+02,1.145545448410011363e-03
2.011616640176241901e+02,1.146115970485143271e-03
2.012267422567307165e+02,1.139999675558984668e-03
2.012918207116122176e+02,1.131820387131332378e-03
2.013568993811529140e+02,1.143197803998537545e-03
2.014219782642365431e+02,1.132944812129950190e-03
2.014870573597464443e+02,1.135287594919820887e-03
2.015521366665654739e+02,1.133900151919384376e-03
2.016172161835760335e+02,1.126788435367992404e-03
2.016822959096601267e+02,1.128475998649686044e-03
